ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-12,428.9472821239724,416.77837509232387,439.3661799473478,428.9472821239724,428.9472821239724,-0.7265034817175527,-0.7265034817175527,-0.7265034817175527,-0.7265034817175527,-0.7265034817175527,-0.7265034817175527,0.0,0.0,0.0,428.22077864225486
2024-04-15,430.04960213371095,417.7584586392993,440.10768330870826,430.04960213371095,430.04960213371095,-1.6053414442460068,-1.6053414442460068,-1.6053414442460068,-1.6053414442460068,-1.6053414442460068,-1.6053414442460068,0.0,0.0,0.0,428.44426068946495
2024-04-16,430.3392622215883,416.8832189355928,439.46006023912287,430.3392622215883,430.3392622215883,-2.389118141111697,-2.389118141111697,-2.389118141111697,-2.389118141111697,-2.389118141111697,-2.389118141111697,0.0,0.0,0.0,427.9501440804766
2024-04-18,430.9185823973429,417.1632910045201,440.2997504607444,430.9185823973429,430.9185823973429,-2.2250487825001115,-2.2250487825001115,-2.2250487825001115,-2.2250487825001115,-2.2250487825001115,-2.2250487825001115,0.0,0.0,0.0,428.6935336148428
2024-04-19,431.2082424852202,418.94605919451044,441.3193504990212,431.2082424852202,431.2082424852202,-0.7265034817425609,-0.7265034817425609,-0.7265034817425609,-0.7265034817425609,-0.7265034817425609,-0.7265034817425609,0.0,0.0,0.0,430.4817390034776
2024-04-22,432.0772227488522,419.1537607078464,442.0359195540027,432.0772227488522,432.0772227488522,-1.6053414442393206,-1.6053414442393206,-1.6053414442393206,-1.6053414442393206,-1.6053414442393206,-1.6053414442393206,0.0,0.0,0.0,430.47188130461285
2024-04-23,432.3668828367295,418.99630647692504,441.0261601285647,432.3668828367295,432.3668828367295,-2.3891181411204774,-2.3891181411204774,-2.3891181411204774,-2.3891181411204774,-2.3891181411204774,-2.3891181411204774,0.0,0.0,0.0,429.977764695609
2024-04-24,432.6565429246068,418.9946383660343,441.3376153653659,432.6565429246068,432.6565429246068,-2.1779002766547393,-2.1779002766547393,-2.1779002766547393,-2.1779002766547393,-2.1779002766547393,-2.1779002766547393,0.0,0.0,0.0,430.4786426479521
2024-04-25,432.9462030124841,419.7458056657206,442.0948634343519,432.9462030124841,432.9462030124841,-2.2250487825102003,-2.2250487825102003,-2.2250487825102003,-2.2250487825102003,-2.2250487825102003,-2.2250487825102003,0.0,0.0,0.0,430.7211542299739
2024-04-26,433.2358631003615,421.0391916345244,443.4818728171766,433.2358631003615,433.2358631003615,-0.7265034817327836,-0.7265034817327836,-0.7265034817327836,-0.7265034817327836,-0.7265034817327836,-0.7265034817327836,0.0,0.0,0.0,432.5093596186287
2024-04-29,433.2226855996492,420.1375473197794,442.85395048735774,433.2226855996492,433.2226855996492,-1.6053414442452316,-1.6053414442452316,-1.6053414442452316,-1.6053414442452316,-1.6053414442452316,-1.6053414442452316,0.0,0.0,0.0,431.61734415540394
2024-04-30,433.2182930994117,419.58763546628364,441.4030359097333,433.2182930994117,433.2182930994117,-2.38911814112436,-2.38911814112436,-2.38911814112436,-2.38911814112436,-2.38911814112436,-2.38911814112436,0.0,0.0,0.0,430.82917495828735
2024-05-02,433.20950809893685,420.48708866771364,441.7652425731193,433.20950809893685,433.20950809893685,-2.225048782496721,-2.225048782496721,-2.225048782496721,-2.225048782496721,-2.225048782496721,-2.225048782496721,0.0,0.0,0.0,430.9844593164401
2024-05-03,433.2051155986994,421.66931313643624,443.55184003341327,433.2051155986994,433.2051155986994,-0.7265034817347227,-0.7265034817347227,-0.7265034817347227,-0.7265034817347227,-0.7265034817347227,-0.7265034817347227,0.0,0.0,0.0,432.4786121169647
2024-05-06,433.19193809798713,420.32238052108215,442.7007501082789,433.19193809798713,433.19193809798713,-1.6053414442385447,-1.6053414442385447,-1.6053414442385447,-1.6053414442385447,-1.6053414442385447,-1.6053414442385447,0.0,0.0,0.0,431.5865966537486
2024-05-07,433.18754559774965,419.58776920411674,441.66219555265764,433.18754559774965,433.18754559774965,-2.3891181411331397,-2.3891181411331397,-2.3891181411331397,-2.3891181411331397,-2.3891181411331397,-2.3891181411331397,0.0,0.0,0.0,430.7984274566165
2024-05-08,433.1831530975123,420.06733368464234,442.1632006621482,433.1831530975123,433.1831530975123,-2.1779002766636704,-2.1779002766636704,-2.1779002766636704,-2.1779002766636704,-2.1779002766636704,-2.1779002766636704,0.0,0.0,0.0,431.0052528208486
2024-05-09,433.1787605972748,419.88830481481614,442.73637366368104,433.1787605972748,433.1787605972748,-2.225048782504526,-2.225048782504526,-2.225048782504526,-2.225048782504526,-2.225048782504526,-2.225048782504526,0.0,0.0,0.0,430.95371181477026
2024-05-10,433.1743674758247,420.7991041048822,443.70087403372264,433.1743674758247,433.1743674758247,-0.7265034817249459,-0.7265034817249459,-0.7265034817249459,-0.7265034817249459,-0.7265034817249459,-0.7265034817249459,0.0,0.0,0.0,432.44786399409975
2024-05-13,433.1611881114743,419.94639344543896,442.9720541764355,433.1611881114743,433.1611881114743,-1.6053414442533582,-1.6053414442533582,-1.6053414442533582,-1.6053414442533582,-1.6053414442533582,-1.6053414442533582,0.0,0.0,0.0,431.5558466672209
2024-05-14,433.15679499002425,419.7628895768848,441.89948672934776,433.15679499002425,433.15679499002425,-2.389118141115207,-2.389118141115207,-2.389118141115207,-2.389118141115207,-2.389118141115207,-2.389118141115207,0.0,0.0,0.0,430.76767684890905
2024-05-15,433.1524018685741,420.51037901049637,441.41967003538423,433.1524018685741,433.1524018685741,-2.177900276654817,-2.177900276654817,-2.177900276654817,-2.177900276654817,-2.177900276654817,-2.177900276654817,0.0,0.0,0.0,430.97450159191925
